Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo,idade,genero,trabalha,trabalhaInstagram,videosLongos,moraSo,Semestre,streamingDiario,acesso,translado,transporte
56.0,76.0,47.0,82.0,22.0,55.0,38.0,24,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,40.0,Majoritariamente privado
82.0,87.0,53.0,73.0,38.0,110.0,32.0,23,Masculino,Sim,Não,Sim,Sim,5+,Não,4g e outros diferentes meios de wi-fi.,40.0,Majoritariamente privado
56.0,95.0,99.0,43.0,58.0,178.0,74.0,22,Masculino,Sim,Não,Sim,Não,5+,Não,4g e outros diferentes meios de wi-fi.,100.0,Majoritariamente público
0.0,0.0,51.0,0.0,0.0,0.0,0.0,21,Masculino,Sim,Não,Sim,Não,5+,Não,Wi-fi,120.0,Majoritariamente público
30.0,60.0,21.0,60.0,45.0,120.0,90.0,22,Masculino,Não,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,60.0,Majoritariamente público
217.0,173.0,90.0,211.0,191.0,268.0,298.0,23,Masculino,Não,Não,Sim,Não,5+,Sim,Wi-fi,0.0,Majoritariamente público
25.0,31.0,52.0,83.0,74.0,57.0,80.0,24,Masculino,Sim,Não,Não,Não,5+,Não,4g e outros diferentes meios de wi-fi.,90.0,Majoritariamente público
160.0,194.0,228.0,136.0,193.0,298.0,271.0,25,Feminino,Não,Não,Sim,Não,5+,Não,Wi-fi,180.0,Majoritariamente público
180.0,60.0,180.0,60.0,20.0,29.0,60.0,22,Masculino,Sim,Não,Não,Não,5+,Sim,Wi-fi,120.0,Majoritariamente privado
108.0,134.0,166.0,120.0,168.0,124.0,115.0,21,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,120.0,Majoritariamente público
12.0,25.0,7.0,13.0,21.0,36.0,39.0,21,Masculino,Não,Não,Sim,Não,5+,Não,Wi-fi,30.0,Majoritariamente privado
18.0,10.0,9.0,0.0,8.0,5.0,5.0,22,Masculino,Sim,Não,Não,Não,5+,Sim,Wi-fi,180.0,Majoritariamente público
126.0,155.0,150.0,129.0,113.0,96.0,93.0,23,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,420.0,Majoritariamente privado
2340.0,2580.0,3120.0,2280.0,2100.0,1260.0,3660.0,23,Masculino,Sim,Não,Sim,Sim,5+,Não,4g e outros diferentes meios de wi-fi.,2400.0,Majoritariamente privado
54.0,23.0,120.0,37.0,42.0,79.0,81.0,22 anos,Masculino,Sim,Não,Sim,Sim,5+,Não,Wi-fi,30.0,Majoritariamente privado
